序号,新闻内容
503,10月12日，机电学院党委组织学院师生党员赴校友企业成都瑞雪丰泰精密电子股份有限公司开展党支部共建和交流学习活动。学院工业工程系党支部与成都瑞雪丰泰精密电子股份有限公司党支部签署共建协议。公司董事长、支部书记赵明校友，学院负责人和40余位师生党员参加活动。
504,10月12日，学校心理健康教育中心邀请部分驻站咨询师代表召开工作研讨会，针对咨询师们在院级心理辅导站开展工作的情况、遇到的困难以及工作经验进行深入交流。
505,10月11日，材料学院党委召开新任支部书记（委员）业务能力培训会，邀请学校党委组织部赵立老师作了专题培训报告。
506,10月10日-11日，中国电科集团研究生院（党校）常务副校长杨佳木一行到软件学院交流，双方召开了中国电科集团代培生学生干部、党员代表座谈会，深入了解学生的学习和生活情况，并围绕学生关注的问题进行了深入交流。学院负责人参加座谈。
507,10月11日，生命学院开展管理服务能力提升系列培训，学院负责人向全体行政人员作了题为“提高政策领悟运用能力，主动作为，助力学院高质量发展”的培训报告。
508,10月11日，基础院召开全院教授会议，解读学校教研系列教师岗位管理办法等文件精神，并研讨部署近期重点工作。基础院全体教师参加。
509,10月10日，软件学院举行“信雅工软”系列讲座，邀请商飞软件有限公司副总经理莫巍作了题为“工业软件与民用飞机研制”的专题报告。
510,10月9日，学校举行2023年“践初心·担使命·兴乡村”本科生党员骨干基层调研行总结分享会，校党委副书记申小蓉出席会议并讲话，来自12个学院的9支调研队依次进行了展示分享，党委常委、党委组织部部长武好明，党委学工部部长钱云光为获得本次基层调研优秀个人奖的同学颁奖，校工会常务副主席、帮扶办主任杨恩华对调研分享作点评。相关学院和职能部门负责人，各调研队指导老师、全体学生参加活动。
511,10月10日，由四川省人力资源与社会保障厅主办，电子学院、先进毫米波技术集成攻关研究院共同承办的国家专业技术人才知识更新工程2023年高级研修项目——“先进毫米波信息技术与应用”高级研修班开班仪式在清水河校区举行，校党委副书记靳敏出席仪式并致辞，相关学院和职能部门负责人、全体学员参加仪式。
512,10月10日，西南石油大学党委副书记、工会主席衡彤一行来校访问，校党委副书记、工会主席靳敏会见来宾，双方围绕教代会工会工作、教职工政治思想引领、服务教职工工作体系、工会宣传等进行了深入交流。
513,10月10日，罗光春副校长一行调研光电学院、外国语学院，光电学院院长刘永、外国语学院院长胡杰辉分别作专项汇报。与会人员围绕学科优势提升、亮点特色突出、高水平科研成果产生、学科国际评估等进行了深入研讨。
514,10月10日，电子学院党委、基础院党委分别召开理论学习中心组学习（扩大）会议，深入学习习近平总书记对宣传思想文化工作的重要指示精神，电子学院党委邀请党委宣传部副部长陈伟作题为“新媒体时代的公文写作与高校意识形态工作”的专题报告。基础院党委还学习了习近平总书记对扎实推动教育强国建设的重要指示精神，并围绕党建、安全、人事人才、研究生培养及管理、科研管理等进行了深入交流。
515,10月10日，计算机（网安）学院开展本科教学工作会议，专题研讨国家“珠峰计划”拔尖人才实验班动态进出实施方案和学院本科教学年度考核修订方案。学院党委书记张庆琳、副书记李青，副院长肖鸣宇，“珠峰计划”项目主任李文等参加会议。
516,10月10日，医学院举办党支部书记（委员）专题培训班第二次培训学习会，学院党总支书记张媛媛作题为“基层党支部建设‘提质增效’——夯实学生党支部建设 &nbsp;打造坚强战斗堡垒”的专题报告。
517,10月10日，格拉斯哥海南学院举行心理育人工作专项研讨会，邀请心理健康教育中心李谷静副教授围绕异地校区心理育人机制建设、队伍建设、心理健康课程教学、心理咨询与危机干预、“一生一档”方案、园区协同、特色创新等进行分享。
518,10月10日，青岛市教育科学研究院副院长李一一行到教务处调研。双方围绕山东省本科招生录取、强基计划开展等进行了深入交流。
519,10月10日，校医院联合健康教育志愿者协会在沙河校区开展主题宣传活动，呼吁广大师生共同关注心理健康，科学疏导压力。
520,10月9日，机电学院党委书记骆德渊以“凝心聚力育人才，砥砺奋进谱新篇”为题为2023级本科生讲授“新生第一课”，从人才培养、师资队伍、科学研究、国际交流等方面介绍了学院整体情况，勉励同学们勇于担当，追求卓越，争做堪当民族复兴大任的新时代青年。
521,10月9日，图书馆党总支书记龚漪、馆长魏彦玉带队前往重庆大学图书馆调研，双方围绕成渝地区双城经济圈高校知识产权信息服务联盟年会、党建促业务发展、全民阅读推广、资源建设与学术服务等进行了深入交流。
522,10月8日，经管学院召开行政人员能力提升系列专题培训会，学院办公室负责人作题为“闭环思维，让靠谱成为习惯”的分享。
523,10月8日，学校召开沙河校区安全工作专题会议，副校长、沙河校区管理委员会主任胡皓全主持会议并对安全工作提出要求。会议结合防灾减灾和安全生产专项行动，聚焦沙河校区安全隐患排查整治和运行管理，强调各单位要进一步加强阵地管理，明确责任，梳理排查隐患，落实安全举措，共筑平安校园。相关职能部门、学院负责人参加会议。
524,10月8日，副校长罗光春带队调研电子学院、生命学院，电子学院院长李斌、生命学院院长陈华富分别作题为“电子科学与技术学科建设探索与实践”“以学科建设为抓手 推进学院各项工作全面发展”的专项汇报。与会人员围绕学科发展与建设、人才培养、高水平科研、国家级平台建设、学科国际评估等进行了深入研讨。
525,10月8日，计算机（网安）学院召开科研团队安全工作会，传达学校2023年第四次安全工作会议精神，全面梳理排查科研团队安全工作风险点，研究部署学院科研团队各项安全重点工作。
526,10月8日，四川大学华西生物医学大数据中心主任张伟一行到软件学院调研，双方围绕人才培养、科研合作等进行了深入交流。
527,10月8日，深圳高研院邀请IEEE Fellow、佐治亚理工学院荣誉教授David Keezer 做客“高研讲坛”，作题为“Advancing Digital Systems Test Technology from Gigahertz to Terahertz”的学术讲座。
528,10月8日，基础院党委召开“潜研先锋会”暨新一届支委见面交流会，邀请校党委组织部赵立老师围绕发展党员工作作专题培训。院党委委员、师生党支部委员参会。
529,10月7日，由研究生院主办、光电学院和物理学院联合承办的第82期“银杏讲坛”，邀请光电学院院长刘永教授作题为“微波光子学科研感悟”的分享。
530,9月28日，由人力资源部博士后和教师引进管理办公室主办、博士后联谊会承办的“博士后成长驿站”活动在清水河校区举行，邀请资环学院院长胡光岷教授、自动化学院黄伟教授、集电学院特聘研究员舒一洋等三位已出站优秀博士后代表作了专题交流。
531,9月28日，在成电建校67周年、电子科技博物馆开馆7周年之际，中国联通云南省分公司向我校电子科技博物馆捐赠了从2G到4G的成系列珍贵藏品。期间，校长曾勇与中国联通云南省分公司党委书记、总经理张云勇校友会面交流。校党委副书记申小蓉在捐赠仪式致辞并向张云勇校友颁发捐赠铜牌。捐赠仪式后，张云勇校友针对这套藏品录制专题讲解视频，并做客由计算机科学与工程学院举办的“计承者·先锋大讲堂”，与成电学子共话中国通信事业的发展历程。中国联通云南省分公司相关工作人员，我校相关部门、学院和电子科技博物馆负责人参加活动。
532,9月27日，由电子科技大学和岑巩县人民政府主办的2023黔东南州岑巩乡村教育高质量发展研讨会在岑巩举行，校党委副书记、纪委书记彭岚，副校长、定点帮扶工作领导小组常务副组长胡俊，岑巩县委书记陈正锋，县委副书记、县长王思红等出席研讨会。本次会议聚焦乡村教育高质量发展和提升乡村教育教学质量，邀请北京、广州、成都、重庆等地的基础教育专家、知名校长进行专题讲座和教育教学研讨，进一步提升乡村教师专业水平，促进城乡教育均衡发展，推进实现乡村教育振兴和教育振兴乡村良性循环。学校和岑巩县相关部门负责人，学校附属中小学、“托管帮扶”中小学、岑巩县中小学校长、教学带头人、骨干教师等参加研讨会。
533,9月26日-27日，校党委副书记、纪委书记彭岚，副校长、定点帮扶工作领导小组常务副组长胡俊一行赴岑巩县推进定点帮扶工作，调研了思州非遗文化传承帮扶项目、塔山村乡村建设和产业发展情况，看望慰问学校挂职干部和研究生支教团成员，实地考察了黔东生态食品产业园、思州石砚文化博物馆、思旸镇第一小学、岑巩县第四中学东校区等。学校和岑巩县相关部门负责人陪同调研。
534,9月28日，电子科大立人托幼公园举行第二届“童萌漫步”徒步走活动，全体师生以“低碳健步走，绿色环保行”的方式迎校庆、迎国庆。校党委副书记、校工会主席靳敏与老师和小朋友们交流。
535,9月27日，学校举行“互联网+”复合型精英人才双学位培养计划2023级新生入学礼，副校长孔令讲参加活动并致辞。参与“互联网+”计划的六个学院的在校生代表、新生代表分别发言。活动中举行了“师生互赠定制礼物”和“新生代表共唱一首歌”活动。计算机（网安）学院党委书记张庆琳主持仪式。学工部、教务处以及各参与学院相关负责人、教师代表及144名新生参加仪式。
536,9月28日，电子学院召开党委理论学习中心组（扩大）学习会，邀请学校党委组织部副部长叶本乾作了题为“学习领会习近平总书记关于党的建设的重要思想”的专题辅导报告。学院党委书记程钰间领学了习近平总书记关于教育强国建设重要论述精神、习近平总书记教师节重要指示精神。学院领导班子成员、党委委员、机关工作人员参加会议。
537,9月28日，医学院召开党总支理论中心组（扩大）学习会，党总支书记张媛媛领学了习近平总书记重要文章《扎实推动教育强国建设》、习近平总书记给全国优秀教师代表的致信精神。学院领导班子、党总支委员、科室负责人等参加学习。
538,9月28日，继续教育学院、高研院分别召开会议，学习习近平总书记教师节重要指示精神，传达学校第四次安全工作会精神，并对近期安全工作、党建思政、师德师风等工作进行安排部署。
539,9月28日，由机关党委、教师发展中心举办的首届新任科级管理人员素质能力提升培训班暨“机关学堂”专题培训班举行第二讲“高校机关干部心理健康与压力调适”，邀请原四川开放大学副校长、广安市原副市长、国家注册心理咨询师吴兆华教授作了专题报告。
540,9月28日，第八届校十佳心理委员答辩工作会在线上举行，来自16个学院的17名心理委员作了工作汇报和答辩。来自重庆大学、中南财经政法大学以及全国高校心理委员工作平台等的评委嘉宾作了点评指导。
541,9月28日，信通学院召开团队调研座谈交流会，围绕教育教学、人事人才、科学研究等进行了深入交流。
542,9月28日，医学院举办“喜迎国庆·欢度中秋·共庆校庆”系列活动，学院师生齐聚一堂共庆佳节，祝福成电67岁生日快乐。
543,9月28日，集成电路学院钧业班与2023级学生助理团联合开展缅怀陈星弼院士活动，为陈星弼院士雕像献花，并观看陈星弼院士生平展，传承“心有大我，至诚报国”的崇高精神。
544,9月28日，在成电建校67周年到来之际，学校办公室党支部在沙河校区举行了“寻根成电历史·凝聚奋进力量”主题党日活动，参观了沙河校区主要建筑，老党员姜昆结合入校40年的学习和工作体会，讲述了学校的辉煌历史和发展成就。
545,9月28日，党委学工部组织2023级学生积极参加第八届全国学生“学宪法·讲宪法”活动之“宪法卫士”行动计划，引导学生成为宪法的忠实崇尚者、自觉遵守者和坚定捍卫者。
546,9月27日-28日，离退休教职工党委、离退休工作处在沙河校区开展离退休教职工书画摄影展、太极拳展演、锅庄舞展演、插花艺术展演等系列活动，展现老同志们积极乐观、健康向上的精神风貌，庆祝成电建校67周年生日快乐。
547,9月27日、28日，资环学院、计算机（网安）学院、格拉斯哥海南学院分别召开安全工作会，传达学校2023年第四次安全工作会议精神，全面排查安全隐患，并部署近期安全重点工作。
548,9月26日-28日，电子学院、光电学院、医学院、基础院分别举行节前安全检查，学院负责人带队深入各科研团队实验室、教研室和学生宿舍开展安全风险排查，提醒师生做好各项安全工作。
549,9月26日、28日，资环学院、软件学院相关负责人分别走访了学生宿舍，祝福同学们中秋节、国庆节双节快乐。
550,9月25日-28日，学校巡察整改督查调研组由纪委副书记、纪委办公室主任、监察处处长、党委巡察工作办公室主任方曼带队，分别到信通学院、机电学院、空天学院、数学学院开展2023年巡察整改督查调研，检查学院巡察整改工作落实情况，开展“以案说巡”案例教育。督查调研组成员、学院领导班子成员等参加会议。
551,9月27日，中海油服-电子科技大学测井定向井联合研究院年会在我校召开，科研院、自动化学院、资环学院相关负责人，中国海油集团公司、联合研究院相关负责人和专家共40余人参加会议。
552,9月27日，由教师发展中心主办、机电学院承办的“名师讲堂”举行，邀请加拿大工程院院士左明健教授作了题为“算法决策大脑赋能工业系统的智能运维”的学术讲座。
553,9月27日，信通学院举行“总师进校园”系列活动，邀请29所副总工程师、航天产品部主任陈林校友面向2023级新生作了题为“从航天装备研制看大国科技竞争”的报告。
554,9月27日，机电学院党委组织开展党务工作规范专题培训，邀请党委组织部赵立老师作了分享交流。学院19个党支部书记和支委共计40余人参加培训。
555,9月27日，人力资源部部长李会勇一行到光电学院调研，围绕专业技术职务申报条件修订、科研系列教师岗位管理办法以及校内双聘的调研工作等进行了深入交流，听取学院和教师的意见建议。
556,9月27日，物理学院举办“新生第一堂党课”，学院党委副书记杨茂作了题为“争做有理想、敢担当、能吃苦、肯奋斗的新时代好青年”的报告。2023级学生党员、入党积极分子、发展对象参加。
557,9月27日，集成电路学院、英才学院共同开展2023级新生教育，邀请“成电故事”讲师团成员张开华教授讲述成电故事、传承成电精神。
558,9月27日，中兴公益基金会秘书长胡丽一行访问深圳高研院，双方围绕建立长期战略合作关系进行了深入交流。
559,9月27日，研究生院开展“2024年选调生政策解读讲座”，邀请华图教育公职类考试资深讲师孙伟作了专题分享，引导广大研究生扎根基层建功立业。
560,9月27日，川德爱迪（北京）信息技术有限公司客户经理钟华到学报编辑部交流访问，开展用户报告及交流座谈会，围绕期刊高质量发展作了深入交流。
561,9月26日，计算机（网安）学院举办建校67周年“成电与我”师生摄影展，共有学院师生的22幅作品参展。展览将持续至10月6日。
562,近日，数学学院召开本科各年级大会，学院相关负责人围绕学习目标和要求、学风建设、生涯发展、职业规划等和同学们进行了深入交流。
563,9月24日，经管学院举行学院校友会成立大会暨校友发展论坛。校党委书记王亚非向学院校友会授旗，校长曾勇致辞，校党委副书记靳敏向会长、执行会长、副会长颁发聘书，副校长孔令讲宣读同意成立学院校友会的函，现场启动“成电经管人”校友小程序，周子学、景亚萍、张蜀平三位校友受邀作主题报告。清华大学、北京大学、长江商学院、中欧商学院、四川大学、西南交通大学、西南财经大学校友会代表，学校北京校友会、上海校友会、深圳校友会、成都校友会负责人，相关职能部门、学院负责人，经管学院部分校友、师生共200余人参加活动。
564,9月21日-23日，出版社举行图书（文创）展，展出我校教师主编的各类教材、学术专著，反映成电人物、成电记忆的图书百余本，并与四川旅投集团联合推出“数字成电文创”，举行“2024成电时光台历”竞先领取活动，收获了返校校友及校内师生们的广泛喜爱和好评，《成电拾光》《河畔花语》等图书倍受校友青睐。
565,9月23日，在成电建校67周年之际，200余位1979级校友返回母校，共同纪念毕业40周年，并向母校捐赠了“校训石”。校党委书记王亚非，校长、校友总会会长曾勇，副校长、校友总会常务副会长孔令讲，老教师代表张开华教授、杨长生教授、凌宝京教授、龚耀寰教授、黄大贵教授、雷维礼教授、唐新建老师等参加活动。王亚非为校友代表赠送毕业集体照并颁发捐赠证书；曾勇作了致辞，对各位校友长期以来关心支持母校发展；孔令讲主持纪念大会。校友代表陆文斌、张家同、胡可，教师代表张开华教授分别发言；校友代表为教师代表献上鲜花感谢师恩。
566,9月23日，电子科技博物馆举行藏品捐赠仪式暨藏品捐赠大使聘任仪式。1977级校友、中国科学院院士祝宁华向博物馆捐赠了自己研发的高速半导体激光器，校党委书记王亚非向祝宁华颁发捐赠铜牌。校党委副书记申小蓉致辞，并为77级校友董谦、78级校友张蜀平、83级校友黄松浩、86级校友王未韬、87级校友程新哲、87级校友吴军、89级校友肖波、90级校友刘丹、2002级校友王平和2002级校友金正权颁发藏品捐赠大使聘任证书。党委宣传部部长吕红胤主持仪式。
567,9月23日，在成电建校67周年之际，200余位1998级、1999级校友返回母校，在清水河校区经管楼学术报告厅举行秩年返校大会，共同纪念毕业20周年，祝福母校生日快乐。副校长、校友总会常务副会长孔令讲致辞并为发起设立“成电98级校友关爱基金”的校友代表颁发捐赠证书，校友代表刘家敏、白瑞虹、林坚、郑俊，教师代表熊茜桃，“成电98级校友关爱基金”捐助代表谢伟奇校友分别发言，共话成电情、师生情、同窗情。会上还举行了感谢师恩环节，校友代表向教师代表献上了鲜花。合作发展部部长、校友总会秘书长田广和主持会议。
568,9月23日，电子科技大学“机器人创新基金”成立仪式在清水河校区举行。副校长、教育发展基金会常务副理事长孔令讲出席活动并致辞，校友企业泓浒（苏州）半导体科技有限公司总裁林坚与合作发展部部长田广和代表双方签署首批基金捐赠协议，机电学院党委书记骆德渊主持仪式，机电学院、合作发展部相关负责人，学校机器人队历届队员代表参加仪式。
569,9月22日，电子科技大学第五十六届田径运动会在清水河校区体育场开幕。校党委书记王亚非宣布运动会开幕，校长曾勇致辞，校领导朱宏、申小蓉、胡皓全、彭岚、靳敏、罗光春出席开幕式，副校长孔令讲主持。此次运动会共有短跑、长跑、跳高、跳远、铅球等10项竞赛项目，有26个学生代表队、22个教工代表队共1000余名运动员参加。
570,9月22日，喀什大学党委书记丁邦文到校访问，校党委书记王亚非、副校长胡俊与来宾座谈交流。双方围绕人才培养、科学研究、师资队伍建设等进行了深入研讨。学校办、党委教工部、发规处、国际处相关负责人参加座谈。
571,9月22日，由机关党委、教师发展中心举办的首届2023年新任科级管理人员素质能力提升培训班暨“机关学堂”专题培训班正式开班。校党委副书记靳敏作动员讲话；副校长胡俊出席开班典礼并作了题为“双一流高校建设中对管理人员素质提升的认识和思考”的首场报告。靳敏、胡俊和机关党委委员为学员代表赠送了学习书籍。教师发展中心主任罗小蓉主持开班仪式。97位新任科级干部（其他专技岗负责人）参加培训。
572,9月17日，在“九一八”事变爆发92周年之际，马克思主义学院硕士研究生第二党支部联合集电学院电子功能薄膜与器件研究室研究生第一党支部共同举办了“勿忘九一八，奋进新征程”主题党日活动，同学们共赴全国爱国主义教育基地——四川省建川博物馆，重温入党誓词，开展“青史可鉴，烛照未来”主题宣讲等活动。
573,9月11日-15日，生命学院11个师生党支部、马克思主义学院8个师生党支部、继续教育学院5个教职工党支部分别召开主题教育专题组织生活会，支部书记作了抓党建述职工作报告，支部领导干部和党员对照6个方面的突出问题，深入开展批评与自我批评。
574,9月10日，由教育部教师工作司主办、电子科大承办的2023年“职教国培”示范项目全国高职院校电子与信息大类计算机中类专业带头人培训班在沙河校区开班，校党委副书记、纪委书记彭岚出席典礼并致辞，大数据研究中心主任周涛、继续教育学院相关负责人参加典礼。本次培训为期20天，来自全国44所职业院校的专业带头人参加培训。
575,9月8日，国际处处长、国际教育学院院长高世全走访慰问汉语教师，向老师们致以教师节的问候和祝福。
576,9月3日，校党委书记王亚非为2023级本科新生讲授“开学第一课”，围绕“奋进新征程 勇担新使命”主题，回顾了成电的光辉发展历程，从人才培养、科技创新、师资队伍、学科建设等方面介绍了各项事业发展取得的成绩，分享了成电精神的内涵，提出了“学在成电”的主要目标和重点任务，勉励同学们弘扬成电精神、争做时代新人，在推进中国式现代化和实现中华民族伟大复兴的征程中贡献成电力量。清水河校区、沙河校区和格拉斯哥海南学院的5026名本科生聆听了报告。
577,9月1日，四川省外事服务中心副主任廖旭江、签证认证部部长方为一行来校调研，国际处处长高世全、国际教育学院副院长曾其刚参加会议，双方就进一步加强合作、为学校教职员工提供更加便利的服务进行了深入讨论。
578,8月29日、31日，机电学院党委、光电学院党委、资环学院党委、空天学院党委、公管学院党委、马克思主义学院党委、继续教育学院党委、基础院党委、后勤保障部党委、校医院党总支、高研院党委分别召开主题教育专题民主生活会，领导班子和党员领导干部成员逐一对照6个方面的突出问题，特别是对照习近平总书记对以学铸魂、以学增智、以学正风、以学促干的12条具体要求作了检查，深入开展批评与自我批评。校长曾勇参加空天学院党委的民主生活会。学校督导组成员参加会议。
579,近日，第八届全国大学生生命科学竞赛（创新创业类）总决赛在青岛举行，经过层层筛选、激烈角逐，医学院专任教师石瑛副教授指导的赵馨晨、陈泺亦同学荣获全国一等奖。
580,8月31日，学校定点帮扶工作办公室召开帮扶工作推进会，会议聚焦年度工作计划落实、精准帮扶典型项目汇报和帮扶工作成效考核等方面，总结了阶段工作开展情况，研究部署了下一步重点工作。定点帮扶工作领导小组成员、定点帮扶工作办公室成员等参加会议。
581,8月30日，体育部召开2023-2024-1学期教学工作会，研讨部署新学期教学工作。体育部领导班子成员、教学委员会、质量小组以及各课程群全体成员参加会议。
582,8月30日，西北工业大学管理学院副院长陈琳一行到经管学院调研，双方就双学位学生招生、培养方案及课程设置、实习就业等进行深入交流。
583,8月27日、30日，数学学院、国际教育学院分别开展2023级新生入学教育，引导新生主动适应新的学习环境，尽快融入校园生活，树立远大理想，厚植家国情怀，勇担时代使命。
584,8月29日、30日，机关党委、信通学院党委、电子学院党委、医学院党总支、生命学院党委、经管学院党委、体育部党总支、英才学院党总支、图书馆党总支、资产公司党委分别召开主题教育专题民主生活会，领导班子和党员领导干部成员逐一对照6个方面的突出问题，特别是对照习近平总书记对以学铸魂、以学增智、以学正风、以学促干的12条具体要求作了检查，深入开展批评与自我批评。校党委副书记、机关党委书记靳敏，副校长胡俊，党委常委、组织部部长武好明分别参加机关党委、生命学院党委、电子学院党委的民主生活会。学校督导组成员参加会议。
585,8月28日，学校迎来新学期开学上课的第一天。校党委书记王亚非、校长曾勇，副校长胡皓全、孔令讲，教务处、研究生院和各教学单位教学管理负责人深入教学一线，检查各校区本硕学生课堂教学情况。
586,8月26日，“南孔杯”电子科技大学全球校友创新创业大赛总决赛在浙江省衢州市圆满落幕，孔令讲副校长出席活动并致辞。本次大赛共有200余个创业项目参加，最终10个项目分获各类奖项。都有为院士、衢州市相关领导、合作发展部负责人等参加活动。
587,8月25日-26日，光电学院、计算机（网安）学院、软件学院、医学院、生命学院、经管学院分别召开2023级本科新生家长会，学院相关负责人围绕学院整体情况、本科生培养方案和学籍管理、学生日常工作等方面向2023级新生家长进行了详细介绍。
588,8月24日-26日，资环学院、计算机（网安）学院、医学院、生命学院、外国语学院、格拉斯哥学院、集电学院、国际教育学院相关负责人一行前往学生宿舍看望2023级新生，对同学们的到来表示欢迎，勉励同学们珍惜大学时光，在成电开启人生新征程。
589,8月26日，自动化学院举行2023级研究生开学典礼。学院相关负责人、导师代表、学院老师及2023级全体研究生参加典礼。典礼后还开展了新生入学教育。
590,8月24日-25日，校党委书记王亚非，校长曾勇，校领导申小蓉、胡皓全分别前往清水河校区报到点、校门口，沙河校区报到点、新生宿舍等地与2023级新生亲切交流，看望慰问各学院、职能部门迎新工作人员，检查迎新各环节工作。相关职能部门负责人陪同看望。
591,8月24日，学校党委理论学习中心组举行集体学习会议，学习习近平总书记关于党的建设的重要思想、习近平总书记来川视察重要指示精神，重温习近平总书记对“以学铸魂、以学增智、以学正风、以学促干”的重要论述、在中央政治局第五次集体学习时重要讲话精神，学习习近平总书记和中央关于严肃党内政治生活的重要要求，为开好主题教育专题民主生活会打下坚实的理论基础和思想基础。校党委书记王亚非作领学发言。校长曾勇，理论学习中心组成员参加学习。
592,8月25日，校党委副书记申小蓉前往心理健康教育中心调研，就新学期心理健康教育相关工作与心理中心专职教师进行了座谈交流。
593,8月25日，第十一届全国大学生光电设计竞赛“滨松杯”在哈尔滨工业大学圆满落幕，我校荣获国家一等奖8项、二等奖1项，一等奖获奖数量位居全国第一，获奖总数与哈尔滨工业大学、长春理工大学并列第一。
594,8月23日，中国电科研究生院（党校）副校长王多君一行来校访问，双方就2023级代培研究生课程设置、学生管理等进行了深入交流。相关学院和职能部门负责人参加座谈。
595,8月9日，集电学院与新加坡科技设计大学召开线上研讨会，双方围绕交流项目、人才培养、科研合作等进行了深入交流。
596,8月4日-6日，经管学院MBA2023级领航班“微芒”公益小组赴贵州省岑巩县天马镇塘湾村开展乡村振兴、企业赋能公益活动，为当地产业推广、品牌提升、价值定位提供帮扶。
597,近日，北京市大学生体育协会、新疆学生体育协会与四川省大学生体育协会交流座谈会在西南财经大学召开。四川省大学生体育协会副会长、体育部主任景志辉，副主任赵章志参加座谈。
598,8月2日，电子学院开展“访企拓岗”活动，学院党委副书记张铱晗带队前往江苏无锡高新区、无锡盛景微电子股份有限公司等地走访，就人才培养、校企合作、学生实习实训等进行了深入交流。
599,8月1日，由教师发展中心主办、信通学院承办的“名师讲堂”邀请英国南安普顿大学 Lajos Hanzo教授，作题为“QUANTUM SOLUTIONS FOR NEXT-GENERATION CLASSICAL WIRELESS”的学术讲座。
600,8月1日，教育部教育对口支援新疆工作会议和教育强国战略咨询会议（新疆）在乌鲁木齐召开。期间，教育部副部长孙尧出席教育部直属高校对口支援中国石油大学（北京）克拉玛依校区工作协调领导小组第五次会议暨签约仪式并讲话，学校党委常委、组织部部长武好明代表学校参会并作交流发言，人力资源部相关负责人陪同参会。
601,7月31日，第31届世界大学生夏季运动会“青春之约” 主题晚会在大运村艺术中心大剧场举行，我校艺术团合唱团和流行舞团70余名学生带来《星辰大海》《青青世界》《追梦》《让世界充满爱》等精彩节目。
602,7月28日晚，成都第31届世界大学生夏季运动会开幕式在成都东安湖体育公园主体育场隆重举行，我校马克思主义学院2020级博士研究生刘昱伶作为开幕式主火炬塔火炬手之一，与其他30名火炬手共同点燃成都大运会主火炬塔。2022级本科生冯子涵作为鄂温克族青年代表，与56个民族青年代表共同唱响《歌唱祖国》。
603,近日，为强化我校与国外合作机构和高校之间的友好合作关系，曾勇校长率团访问法国、葡萄牙和英国。在法国，代表团参加了法语联盟140周年庆典，拜访了中国驻法国大使馆；在葡萄牙，代表团参加了我校与里斯本大学学院合作举办的管理学博士项目毕业典礼；在英国，代表团访问了格拉斯哥大学，看望了在格拉斯哥大学深造和工作的校友以及参加暑期夏令营的同学们，拜访了中国驻英国大使馆教育处，并与伦敦大学学院进行了交流。国际处、信通学院、经管学院和格拉斯哥学院负责人陪同出访。
604,7月27日，软件学院党委副书记郭志勇带队开展“访企拓岗”活动，前往安恒信息技术有限公司、商飞软件有限公司走访交流并看望在企业实习的学生，同时就毕业生招聘、校企合作、学生实习实训等工作进行了深入交流。
605,7月25日，由深圳市政府指导，国家工业信息安全发展研究中心、深圳市工业和信息化局、龙华区人民政府共同举办的“2023年数字经济和实体经济深度融合全国行·深圳站活动”开展，深圳高研院执行院长汤志伟受邀出席“搭建数字产融生态 助力实体经济发展”主题圆桌对话活动，介绍了深圳高研院在数字产融方面的工作与成果。
606,7月20日，成都大运会火炬传递成都站在电子科技大学、西华大学、四川建筑职业技术学院（成都校区）、西南石油大学（成都校区）、四川音乐学院（新都校区）举行。起跑仪式在电子科技大学清水河校区举行。四川省人民政府副秘书长、成都大运会组委会副秘书长刘全胜，浙江省人民政府副秘书长、第19届亚运会火炬传递指挥中心执行指挥长梁群，四川省体育局党组成员、副局长，四川体育职业学院党委书记陈兴东，中共成都市委常委、成都高新区党工委书记，成都大运会执委会副主席曹俊杰，成都市人民政府副市长、成都大运会执委会副主席陈志勇，成都市人民政府副市长、成都大运会执委会副主席吴皓，成都市政协党组副书记、副主席，成都大运会执委会副主席田蓉，电子科技大学党委书记王亚非，西华大学党委书记刘树根先生等出席仪式。中共四川省委教育工委副书记、四川省教育厅党组成员刘立云主持仪式。
607,7月18日，校党委书记王亚非、副书记靳敏前往清水河校区体育馆、南门门岗、学子餐厅，慰问第31届世界大学生夏季运动会期间运行保障的一线教职工。体育部、校团委、后勤保障部、党委保卫部、信息中心、校工会等相关负责人陪同慰问。
608,7月17日，深圳高研院执行院长汤志伟带队前往深圳市前海深港现代服务业合作区调研，双方围绕现代管理制度体系化建设、智慧城市建设、海洋电子信息、科技创新、高水平智库建设等进行了深入交流。
609,7月18日，电子学院开展暑期安全巡查，学院党委书记程钰间、常务副院长陆海鹏带队对学院危险化学品实验室操作规范、现场管理等进行检查，同时向各实验室传达了近期安全工作要求。
610,7月18日，兰州大学国家大学科技园管理办公室副主任李汝平一行到访电子科大科技园（天府园），双方围绕园区运营模式、企业孵化、人才培养、技术成果转化等进行了深入交流。
611,7月17日-18日，学校定点帮扶工作领导小组成员赴康定市开展定点帮扶工作，就推进帮扶工作落实与康定市相关部门负责人进行了深入交流，送新选派的帮扶干部李晶到甲根坝镇亚弄村挂职，慰问了在村支教的学生和在岗挂职的干部。
612,7月17日，深圳高研院“点亮梦想星火”实践队前往广西靖西市靖西中学，开展由中兴通讯公益和高研院联合开展的 “筑梦万里行”科技主题营支教活动。
613,7月16日-17日，首批赴加拿大麦吉尔大学、美国佛罗里达大学、爱尔兰利莫瑞克大学开展暑期交流学习的学生分别顺利抵达目的地，将分别开启为期30天、42天、14天的研习之旅。
